,Max,Min,25%,75%
50,0.884321608040201,0.7944723618090452,0.8316582914572864,0.8704522613065326
150,0.7340101522842639,0.6373604060913706,0.6401015228426395,0.6688324873096446
250,0.6561025641025641,0.5024615384615385,0.5492307692307692,0.6358974358974359
350,0.5823834196891192,0.47264248704663214,0.5157512953367875,0.5458031088082902
450,0.5735078534031414,0.5290052356020942,0.5319371727748691,0.5699476439790576
550,0.5888888888888889,0.511005291005291,0.5591534391534392,0.5870899470899471
650,0.5757219251336898,0.5427807486631016,0.5570053475935829,0.5607486631016043
750,0.6049729729729729,0.5353513513513514,0.5503783783783783,0.6021621621621621
850,0.5884153005464481,0.5604371584699454,0.5665573770491803,0.5873224043715847
950,0.6030939226519337,0.5764640883977901,0.5845303867403315,0.5993370165745856
