,Max,Min,25%,75%
50,1.0,0.7333333333333333,0.8,0.8
150,0.8444444444444444,0.7555555555555555,0.7555555555555555,0.8
250,0.8533333333333334,0.7866666666666666,0.7866666666666666,0.8266666666666667
350,0.8761904761904762,0.8285714285714286,0.8380952380952381,0.8666666666666667
450,0.8740740740740741,0.8074074074074075,0.8222222222222222,0.8444444444444444
550,0.9212121212121213,0.8242424242424242,0.8484848484848485,0.8666666666666667
650,0.9076923076923077,0.882051282051282,0.8871794871794871,0.9025641025641026
750,0.9155555555555556,0.8444444444444444,0.8755555555555555,0.8933333333333333
850,0.9176470588235294,0.8745098039215686,0.8745098039215686,0.8941176470588236
950,0.9087719298245615,0.887719298245614,0.8947368421052632,0.9052631578947369
