,Sample Accuracy,Full Accuracy
50,0.8266666666666668,0.8464120603015075
100,0.7933333333333332,0.8596161616161616
150,0.9066666666666666,0.8898071065989847
200,0.8800000000000001,0.8936938775510204
250,0.8853333333333333,0.8944820512820513
300,0.8644444444444443,0.8907835051546392
350,0.8571428571428571,0.8918756476683939
400,0.86,0.8910208333333334
450,0.8607407407407408,0.89482722513089
500,0.8693333333333333,0.8983157894736842
550,0.863030303030303,0.8971216931216931
600,0.8677777777777778,0.8991489361702127
650,0.8594871794871797,0.8987379679144386
700,0.8533333333333333,0.9010322580645163
750,0.8560000000000001,0.9017513513513513
800,0.8641666666666665,0.902304347826087
850,0.8588235294117649,0.9019016393442623
900,0.8718518518518519,0.902857142857143
950,0.8673684210526316,0.9029171270718234
