,Max,Min,25%,75%
50,1.0,0.7333333333333333,0.8,0.8
100,0.8666666666666667,0.7,0.7666666666666667,0.8333333333333334
150,0.9333333333333333,0.8888888888888888,0.8888888888888888,0.9111111111111111
200,0.9,0.8333333333333334,0.8833333333333333,0.9
250,0.9333333333333333,0.8,0.8533333333333334,0.92
300,0.9,0.8222222222222222,0.8555555555555555,0.8888888888888888
350,0.9142857142857143,0.8285714285714286,0.8380952380952381,0.8666666666666667
400,0.8833333333333333,0.825,0.8333333333333334,0.8833333333333333
450,0.8962962962962963,0.8074074074074075,0.8222222222222222,0.8962962962962963
500,0.8933333333333333,0.8533333333333334,0.86,0.8733333333333333
550,0.896969696969697,0.8424242424242424,0.8545454545454545,0.8666666666666667
600,0.8833333333333333,0.8444444444444444,0.8611111111111112,0.8777777777777778
650,0.8769230769230769,0.8358974358974359,0.8564102564102564,0.8666666666666667
700,0.8809523809523809,0.8238095238095238,0.8476190476190476,0.861904761904762
750,0.8755555555555555,0.8311111111111111,0.8533333333333334,0.8622222222222222
800,0.8833333333333333,0.8375,0.85,0.875
850,0.8666666666666667,0.8470588235294118,0.8509803921568627,0.8666666666666667
900,0.8777777777777778,0.8666666666666667,0.8666666666666667,0.8777777777777778
950,0.8771929824561403,0.8491228070175438,0.8666666666666667,0.8736842105263158
