,Sample Accuracy,Full Accuracy
50,0.8266666666666668,0.8464120603015075
100,0.8733333333333334,0.8698585858585858
150,0.888888888888889,0.8783959390862945
200,0.8800000000000001,0.8720612244897958
250,0.8746666666666666,0.8771282051282052
300,0.8644444444444446,0.8843298969072165
350,0.8857142857142858,0.8878963730569949
400,0.8850000000000001,0.89375
450,0.9051851851851852,0.8940942408376964
500,0.908,0.8912210526315789
550,0.9078787878787878,0.8928677248677248
600,0.8966666666666667,0.8954255319148936
650,0.8912820512820513,0.8950588235294118
700,0.8914285714285715,0.8959784946236559
750,0.8959999999999999,0.8972324324324324
800,0.8941666666666667,0.894804347826087
850,0.8894117647058823,0.8961967213114754
900,0.897037037037037,0.8964835164835165
950,0.8975438596491229,0.895425414364641
