,Max,Min,25%,75%
50,0.884321608040201,0.7944723618090452,0.8316582914572864,0.8704522613065326
100,0.8871717171717172,0.8535353535353535,0.8616161616161616,0.8812121212121212
150,0.8923857868020305,0.8608121827411167,0.8638578680203046,0.8916751269035533
200,0.8942857142857142,0.843469387755102,0.8665306122448979,0.8859183673469387
250,0.8994871794871795,0.8609230769230769,0.8650256410256411,0.8850256410256411
300,0.8961855670103093,0.8734020618556702,0.8781443298969073,0.8945360824742268
350,0.8998963730569948,0.8738860103626943,0.875440414507772,0.8953367875647669
400,0.9019791666666667,0.8826041666666666,0.8866666666666667,0.9015625
450,0.9037696335078534,0.8861780104712041,0.8869109947643979,0.8976963350785341
500,0.8996842105263158,0.8792631578947369,0.89,0.8970526315789473
550,0.8992592592592593,0.8877248677248677,0.8906878306878306,0.8933333333333333
600,0.8996808510638298,0.8902127659574468,0.8910638297872341,0.8991489361702127
650,0.9001069518716578,0.8880213903743316,0.8912299465240642,0.8983957219251337
700,0.9031182795698924,0.8896774193548387,0.8912903225806451,0.8986021505376344
750,0.902918918918919,0.8897297297297297,0.8957837837837838,0.898918918918919
800,0.9029347826086956,0.8883695652173913,0.8935869565217391,0.8955434782608696
850,0.9014207650273224,0.8904918032786885,0.8931147540983606,0.898360655737705
900,0.9023076923076923,0.8916483516483517,0.8935164835164835,0.8991208791208791
950,0.9011049723756906,0.8906077348066298,0.8945856353591161,0.8961325966850828
