,Max,Min,25%,75%
50,1.0,0.7333333333333333,0.8,0.8
100,0.9,0.8333333333333334,0.8666666666666667,0.9
150,0.9555555555555556,0.8444444444444444,0.8666666666666667,0.9111111111111111
200,0.95,0.8166666666666667,0.8166666666666667,0.9333333333333333
250,0.9333333333333333,0.8,0.8266666666666667,0.92
300,0.9222222222222223,0.8,0.8444444444444444,0.8888888888888888
350,0.9142857142857143,0.8380952380952381,0.8761904761904762,0.9047619047619048
400,0.925,0.825,0.8583333333333333,0.9166666666666666
450,0.9259259259259259,0.8740740740740741,0.8962962962962963,0.9185185185185185
500,0.9266666666666666,0.88,0.9066666666666666,0.92
550,0.9333333333333333,0.8848484848484849,0.8909090909090909,0.9272727272727272
600,0.9166666666666666,0.8611111111111112,0.8833333333333333,0.9166666666666666
650,0.9333333333333333,0.8256410256410256,0.8871794871794871,0.9179487179487179
700,0.9380952380952381,0.8333333333333334,0.861904761904762,0.919047619047619
750,0.9377777777777778,0.8622222222222222,0.8711111111111111,0.92
800,0.9291666666666667,0.8583333333333333,0.875,0.9083333333333333
850,0.9294117647058824,0.8470588235294118,0.8549019607843137,0.9137254901960784
900,0.9259259259259259,0.8518518518518519,0.8814814814814815,0.9148148148148149
950,0.9263157894736842,0.8701754385964913,0.8771929824561403,0.9087719298245615
