,Sample Accuracy,Full Accuracy
50,0.8266666666666668,0.8464120603015075
100,0.8466666666666667,0.8907878787878788
150,0.8,0.8932385786802032
200,0.7700000000000001,0.9008163265306122
250,0.7466666666666667,0.9071589743589744
300,0.6933333333333332,0.9115463917525772
350,0.6666666666666666,0.9146113989637306
400,0.6366666666666666,0.9176874999999999
450,0.6533333333333333,0.9189319371727749
500,0.6786666666666666,0.9208421052631579
550,0.6557575757575758,0.923005291005291
600,0.6622222222222222,0.9253617021276594
650,0.6543589743589744,0.9268877005347594
700,0.6447619047619046,0.9291827956989247
750,0.6382222222222221,0.9308756756756755
800,0.6383333333333334,0.9327173913043477
850,0.6407843137254902,0.9339672131147541
900,0.6392592592592592,0.9354285714285714
950,0.647719298245614,0.9369723756906078
