,Max,Min,25%,75%
50,0.884321608040201,0.7944723618090452,0.8316582914572864,0.8704522613065326
100,0.907070707070707,0.8548484848484849,0.8957575757575758,0.8988888888888888
150,0.9055837563451776,0.8610152284263959,0.892994923857868,0.9035532994923858
200,0.9101020408163265,0.8747959183673469,0.9011224489795918,0.9092857142857143
250,0.9136410256410257,0.8929230769230769,0.9067692307692308,0.9123076923076923
300,0.9168041237113402,0.9,0.9118556701030928,0.9156701030927835
350,0.917098445595855,0.9076683937823834,0.9152331606217616,0.9167875647668394
400,0.9210416666666666,0.9113541666666667,0.9180208333333333,0.9196875
450,0.9219895287958115,0.9112041884816754,0.9194764397905759,0.9213612565445026
500,0.9248421052631579,0.9131578947368421,0.921578947368421,0.9229473684210526
550,0.9261375661375661,0.9169312169312169,0.9233862433862434,0.9248677248677248
600,0.9277659574468086,0.9198936170212766,0.9261702127659575,0.9267021276595745
650,0.9296256684491978,0.9201069518716578,0.9267379679144385,0.9291978609625668
700,0.9310752688172043,0.9239784946236559,0.93,0.9304301075268817
750,0.9325405405405406,0.9263783783783783,0.9313513513513514,0.9321081081081081
800,0.9342391304347826,0.9289130434782609,0.9328260869565217,0.9341304347826087
850,0.9356284153005464,0.9301639344262295,0.9344262295081968,0.9349726775956284
900,0.9368131868131868,0.9327472527472528,0.9354945054945055,0.9362637362637363
950,0.9384530386740332,0.9334806629834255,0.9372375690607735,0.938121546961326
