,Max,Min,25%,75%
50,1.0,0.7333333333333333,0.8,0.8
100,0.9333333333333333,0.7666666666666667,0.8,0.9333333333333333
150,0.9111111111111111,0.7333333333333333,0.7555555555555555,0.8222222222222222
200,0.9,0.6833333333333333,0.7,0.7833333333333333
250,0.8,0.6533333333333333,0.7466666666666667,0.7733333333333333
300,0.7444444444444445,0.6555555555555556,0.6666666666666666,0.7222222222222222
350,0.7428571428571429,0.6285714285714286,0.6476190476190476,0.6571428571428571
400,0.6666666666666666,0.5416666666666666,0.65,0.6666666666666666
450,0.7111111111111111,0.6148148148148148,0.6296296296296297,0.674074074074074
500,0.7,0.64,0.6666666666666666,0.7
550,0.6848484848484848,0.593939393939394,0.6484848484848484,0.6787878787878788
600,0.7055555555555556,0.6277777777777778,0.6555555555555556,0.6666666666666666
650,0.676923076923077,0.6307692307692307,0.6358974358974359,0.6666666666666666
700,0.6619047619047619,0.6238095238095238,0.6285714285714286,0.6571428571428571
750,0.6711111111111111,0.6044444444444445,0.6133333333333333,0.6577777777777778
800,0.6666666666666666,0.6125,0.625,0.6625
850,0.6784313725490196,0.6039215686274509,0.6352941176470588,0.6470588235294118
900,0.6555555555555556,0.6148148148148148,0.6222222222222222,0.6518518518518519
950,0.6666666666666666,0.6350877192982456,0.6385964912280702,0.6491228070175439
