,Sample Accuracy,Full Accuracy
50,0.8266666666666668,0.8464120603015075
100,0.8400000000000001,0.8895667104332896
150,0.8088888888888889,0.8919610231425091
200,0.8366666666666667,0.9010711006834642
250,0.8324324324324325,0.9043059257740413
300,0.8426966292134832,0.9057805255023185
350,0.7653846153846153,0.9057787903893952
400,0.793220338983051,0.9090246695118143
450,0.7639097744360902,0.9096045197740112
500,0.7810810810810811,0.9115785045746134
550,0.7925925925925925,0.913678646934461
600,0.7344632768361582,0.9145468069280629
650,0.7281249999999999,0.9148045289468062
700,0.7623188405797101,0.9165897133039838
750,0.7601809954751131,0.9179404145077721
800,0.7627118644067796,0.9189365165491047
850,0.7426294820717132,0.9188304603971197
900,0.7516981132075472,0.9204562904464189
950,0.7407142857142858,0.9214159682399646
