,Max,Min,25%,75%
50,1.0,0.7333333333333333,0.8,0.8
100,0.9,0.7333333333333333,0.8,0.9
150,0.8888888888888888,0.7111111111111111,0.7555555555555555,0.8444444444444444
200,0.9,0.8,0.8,0.85
250,0.8648648648648649,0.7972972972972973,0.8243243243243243,0.8513513513513513
300,0.898876404494382,0.797752808988764,0.8202247191011236,0.8539325842696629
350,0.7884615384615384,0.7307692307692307,0.7596153846153846,0.7788461538461539
400,0.8135593220338984,0.788135593220339,0.788135593220339,0.788135593220339
450,0.7969924812030075,0.7218045112781954,0.7443609022556391,0.7969924812030075
500,0.8243243243243243,0.7364864864864865,0.777027027027027,0.7905405405405406
550,0.8209876543209876,0.7716049382716049,0.7839506172839507,0.8024691358024691
600,0.7796610169491526,0.7005649717514124,0.7062146892655368,0.7457627118644068
650,0.7604166666666666,0.65625,0.7291666666666666,0.7604166666666666
700,0.7874396135265701,0.7439613526570048,0.7536231884057971,0.7681159420289855
750,0.7782805429864253,0.746606334841629,0.751131221719457,0.7647058823529411
800,0.7711864406779662,0.7415254237288136,0.7669491525423728,0.7669491525423728
850,0.7529880478087649,0.7211155378486056,0.7450199203187251,0.749003984063745
900,0.7886792452830189,0.7056603773584905,0.7433962264150943,0.7660377358490567
950,0.7857142857142857,0.7214285714285714,0.7285714285714285,0.7357142857142858
