,Size,average,third_qnt,first_qnt
0,50,0.1560196230253402,0.17274148064126263,0.14575839221479042
1,100,0.14256922202190306,0.1648985562733395,0.12154389894770527
2,150,0.10663577116375282,0.1161295668248585,0.09405223473344057
3,200,0.09174421495041386,0.09211221810472661,0.08989219907599208
4,250,0.09037563179112965,0.09291222496192825,0.08769218021868759
5,300,0.09536767458006783,0.09062934825155644,0.08728931962273963
6,350,0.08886819029877398,0.09155507047203262,0.0862607393777661
7,400,0.09213793261085094,0.09559224793355371,0.09098649416995003
8,450,0.08604302322591337,0.0883379000391432,0.08312642679794398
9,500,0.0813321257039346,0.08449215278988105,0.07914353551601871
10,550,0.08242699223136199,0.08526644514095835,0.08180927265090844
11,600,0.08018525873078912,0.08106926630799692,0.07789209621796758
12,650,0.08094526524513067,0.08313214113263828,0.07829781398126269
13,700,0.07785495304245466,0.07810352660165659,0.0771006608628074
14,750,0.07710923236484883,0.07995782820995609,0.07488349900142001
15,800,0.07560750520718748,0.07737209176078652,0.07432063703403172
16,850,0.0752966453998177,0.07575207787495321,0.07361205953193885
17,900,0.07402520593033654,0.07371206038908905,0.07252633594002235
18,950,0.07234176292939654,0.07154632753995034,0.07054917613579545
